"Year",GDP,"primary","secondary","tertiary",GDPperCapita,"gudingTouzhi","RealEstateDeve"
1979,19638,7273,4017,8348,606,5938,0
1980,27012,7803,7036,12173,835,13801,0
1981,49576,13343,16019,20214,1417,29684,0
1982,82573,18960,31439,32174,2023,73750,0
1983,131212,22614,55848,52750,2512,108320,0
1984,234161,25932,106606,101623,3504,194572,0
1985,390222,26111,163586,200525,4809,333235,0
1986,416451,32907,163185,220359,4584,248551,0
1987,559015,46519,220463,292033,5349,285193,0
1988,869807,57005,359230,453572,6477,436191,0
1989,1156565,68615,505361,582589,6710,499919,0
1990,1716665,70220,769319,877126,8724,623380,112000
1991,2366630,80836,1126084,1159710,11997,912324,255600
1992,3173194,105914,1522432,1544848,12827,1782322,714900
1993,4531445,108615,2420214,2002616,15005,2477875,1027700
1994,6346711,134152,3357972,2854587,16954,2819413,1304600
1995,8427933,124122,4223744,4080067,19558,2758243,1030368
1996,10505121,148796,5081045,5275280,22542,3275270,1248251
1997,13023008,147660,6209018,6666330,25772,3930657,1366545
1998,15449472,151764,7508019,7789689,27885,4803901,1674854
1999,18246876,150445,9154443,8941988,30088,5695878,2152541
2000,22192015,155656,11087644,10948715,33276,6771205,2609694
2001,25229474,160413,12583983,12485078,35390,6863749,3156364
2002,30172384,166587,14980113,15025684,41018,7881459,3884445
2003,36401435,142048,18562162,17697225,47743,9491016,4126636
2004,43502928,123264,22643124,20736540,55099,10925571,4342432
2005,50357678,97385,27096861,23163432,61844,11823245,4236865
2006,59206612,68851,31449697,27688064,69702,12736693,4620940
2007,69252268,77374,35135153,34039741,77660,13450037,4610422
2008,79414328,83804,39799045,39531479,85088,14676043,4404897
2009,84858247,69599,40095728,44692920,87066,17091514,4374590
2010,100022183,68391,47379750,52574042,98437,19447008,4584693
2011,118072348,69491,56128559,61874298,110389,20609180,5147362
2012,133196818,68164,60559131,72569523,116407,23144319,7368421
2013,149794486,63504,66579909,83151073,123208,24901970,8769002
2014,164494770,57579,72242462,92194729,130448,27174226,10694855
2015,180140720,72084,76780987,103287649,135271,32983076,13310333
2016,200797043,82840,83106513,117607690,142494,40781638,17565209
2017,224900586,195721,93180979,131523886,150739,51473152,21358565
2018,242219771,220935,99619472,142379364,155320,0,0
2019,269923266,0,0,0,159883,0,0
2020,277590153,0,0,0,159820,0,0
2021,306648538,0,0,0,173663,0,0